time_rel,bidirectional_packets,bidirectional_bytes,src2dst_packets,dst2src_packets,packet_rate
0,13882.0,2446975.0,7105.0,6777.0,13882.0
1,2018.0,121269.0,1012.0,1006.0,2018.0
2,283.0,51821.0,109.0,174.0,283.0
3,118.0,19841.0,59.0,59.0,118.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,2009.0,120645.0,1006.0,1003.0,2009.0
7,38.0,2898.0,27.0,11.0,38.0
8,116.0,19709.0,58.0,58.0,116.0
9,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0
11,2013.0,120919.0,1008.0,1005.0,2013.0
12,35.0,2690.0,25.0,10.0,35.0
13,117.0,19259.0,59.0,58.0,117.0
14,0.0,0.0,0.0,0.0,0.0
15,2001.0,120060.0,1001.0,1000.0,2001.0
16,46.0,3483.0,32.0,14.0,46.0
17,115.0,19623.0,58.0,57.0,115.0
18,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0
20,2001.0,120060.0,1001.0,1000.0,2001.0
21,39.0,3013.0,28.0,11.0,39.0
22,131.0,20052.0,67.0,64.0,131.0
23,15.0,3410.0,8.0,7.0,15.0
24,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0
26,2022.0,121539.0,1014.0,1008.0,2022.0
27,65.0,6573.0,39.0,26.0,65.0
28,75.0,15062.0,37.0,38.0,75.0
29,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0
35,2028.0,123645.0,1015.0,1013.0,2028.0
36,35.0,2690.0,25.0,10.0,35.0
37,115.0,19631.0,58.0,57.0,115.0
38,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0
42,1605.0,96300.0,803.0,802.0,1605.0
43,493.0,35046.0,256.0,237.0,493.0
44,112.0,17031.0,56.0,56.0,112.0
45,15.0,3410.0,8.0,7.0,15.0
46,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0
49,2019.0,121335.0,1012.0,1007.0,2019.0
50,55.0,4199.0,35.0,20.0,55.0
51,90.0,17772.0,45.0,45.0,90.0
52,0.0,0.0,0.0,0.0,0.0
53,2009.0,120645.0,1006.0,1003.0,2009.0
54,38.0,2898.0,27.0,11.0,38.0
55,113.0,19511.0,56.0,57.0,113.0
56,0.0,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0,0.0
58,2025.0,121747.0,1016.0,1009.0,2025.0
59,94.0,12697.0,53.0,41.0,94.0
60,44.0,8796.0,22.0,22.0,44.0
